"","number","name","team_city","position"
"1",13,"Kaleigh Fratkin","Boston","D"
"2",13,"Mikyla Grant-Mentis","Toronto","F"
"3",21,"Christina Putigna","Boston","F"
"4",17,"McKenna Brand","Boston","F"
"5",14,"Jillian Dempsey","Boston","F"
"6",44,"Lindsay Eastwood","Toronto","D"
"7",23,"Nina Rodgers","Minnesota","F"
"8",8,"Alyssa Wohlfeiler","Connecticut","F"
"9",42,"Meghara McManus","Boston","F"
"10",19,"Samantha Davis","Boston","F"
"11",2,"Taylor Woods","Toronto","F"
"12",21,"Amy Curlew","Toronto","F"
"13",21,"Audra Richards","Minnesota","F"
"14",11,"Breanne Wilson-Bennett","Toronto","F"
"15",19,"Brooke Boquist","Toronto","F"
"16",15,"Emma Vlasic","Connecticut","F"
"17",67,"Emma Woods","Toronto","F"
"18",25,"Kristin Lewicki","Buffalo","F"
"19",20,"Meghan Lorence","Minnesota","F"
"20",9,"Autumn MacDougall","Buffalo","F"
"21",19,"Haley Mack","Minnesota","F"
"22",27,"Jordan Juron","Buffalo","F"
"23",5,"Leila Kilduff","Metropolitan","D"
"24",16,"Lexie Laing","Boston","F"
"25",47,"Mallory Souliotis","Boston","D"
"26",4,"Marie-Jo Pelletier","Buffalo","D"
"27",24,"Sarah-Eve Coutu Godbout","Toronto","F"
"28",27,"Shiann Darkangelo","Toronto","F"
"29",6,"Sydney Baldwin","Minnesota","D"
"30",8,"Taylor Turnquist","Boston","D"
"31",17,"Taytum Clairmont","Toronto","F"
"32",5,"Tori Howran","Connecticut","D"
"33",23,"Alyson Matteau","Buffalo","D"
"34",88,"Amanda Conway","Connecticut","F"
"35",14,"Elena Orlando","Connecticut","D"
"36",12,"Emily Fluke","Toronto","F"
"37",23,"Katelynn Russ","Connecticut","F"
"38",8,"Kelly Babstock","Metropolitan","F"
"39",4,"Lauren Kelly","Boston","D"
"40",9,"Mackenzie MacNeil","Toronto","F"
"41",18,"Rebecca Russo","Metropolitan","F"
"42",6,"Sarah Steele","Toronto","D"
"43",6,"Shannon Doyle","Connecticut","D"
"44",73,"Tereza Vanisova","Boston","F"
"45",9,"Tori Sullivan","Boston","F"
"46",16,"Brooke Avery","Metropolitan","F"
"47",12,"Brooke Stacey","Buffalo","F"
"48",10,"Brooke White","Minnesota","F"
"49",13,"Cailey Hutchison","Metropolitan","F"
"50",23,"Carlee Turner","Boston","F"
"51",4,"Emily Janiga","Metropolitan","F"
"52",25,"Emma Greco","Toronto","D"
"53",7,"Emma Stauber","Minnesota","D"
"54",91,"Haylea Schmid","Minnesota","F"
"55",12,"Jenna Rheault","Boston","D"
"56",3,"Jonna Curtis","Minnesota","F"
"57",28,"Kate Leary","Metropolitan","F"
"58",9,"Kaycie Anderson","Connecticut","F"
"59",29,"Kayla Friesen","Connecticut","F"
"60",21,"Kayla Meneghin","Buffalo","F"
"61",10,"Kendall Cornine","Metropolitan","F"
"62",26,"Kiira Dosdall","Metropolitan","D"
"63",5,"Lenka Curmova","Buffalo","D"
"64",11,"Lisa Chesson","Buffalo","D"
"65",20,"Mallory Rushton","Metropolitan","F"
"66",15,"Meaghan Pezon","Minnesota","F"
"67",2,"Meaghan Rickard","Boston","F"
"68",23,"Megan Quinn","Toronto","D"
"69",22,"Natalie Marcuzzi","Toronto","F"
"70",20,"Paige Capistran","Boston","D"
"71",14,"Rose Alleva","Minnesota","D"
"72",21,"Sarah Schwenzfeier","Connecticut","F"
"73",71,"Saroya Tinker","Metropolitan","D"
"74",18,"Stephanie Anderson","Minnesota","F"
"75",18,"Taylor Wenczkowski","Boston","F"
"76",3,"Theresa Knutson","Metropolitan","F"
"77",77,"Whitney Dove","Buffalo","D"
"78",5,"Winny Brodt-Brown","Minnesota","D"
"79",10,"Alexa Aramburu","Connecticut","F"
"80",22,"Allie Olnowich","Metropolitan","D"
"81",9,"Allie Thunstrom","Minnesota","F"
"82",8,"Amanda Boulier","Minnesota","D"
"83",28,"Briana Mastel","Boston","D"
"84",33,"Bridgette Prentiss","Metropolitan","D"
"85",16,"Brittany Colton","Buffalo","F/D"
"86",17,"Cassidy MacPherson","Buffalo","F"
"87",4,"Chelsey Brodt-Rosenthal","Minnesota","D"
"88",13,"Dominique Kremer","Buffalo","D"
"89",7,"Emma Ruggiero","Buffalo","F"
"90",81,"Erin Gehen","Buffalo","F"
"91",94,"Grace Klienbach","Connecticut","F"
"92",16,"Hanna Beattie","Connecticut","D"
"93",98,"Hunter Accursi","Buffalo","F"
"94",8,"Iveta Klimasova","Buffalo","F"
"95",24,"Janine Weber","Connecticut","F"
"96",24,"Jayne Lewis","Metropolitan","F"
"97",91,"Jenna McParland","Toronto","F"
"98",93,"Julie Allen","Toronto","F"
"99",15,"Kelly O'Sullivan","Buffalo","D"
"100",20,"Kristen Barbara","Toronto","D"
"101",7,"Mary Parker","Boston","F"
"102",35,"Lovisa Selander","Boston","G"
"103",33,"Victoria Hanson","Boston","G"
"104",3,"Megan Delay","Buffalo","D"
"105",10,"Neve Van Pelt","Buffalo","F"
"106",19,"Taylor Wasylk","Buffalo","F"
"107",70,"Carly Jackson","Buffalo","G"
"108",1,"Caty Flagg","Buffalo","G"
"109",35,"Abbie Ives","Connecticut","G"
"110",1,"Brooke Wolejko","Connecticut","G"
"111",37,"Mariah Fujimagri","Connecticut","G"
"112",25,"Maeve Reily","Connecticut","F"
"113",7,"Rachael Ade","Connecticut","F"
"114",27,"Sarah Hughson","Connecticut","F"
"115",10,"Laurel Hill","Connecticut","D"
"116",13,"Nicole Guagliardo","Connecticut","F"
"117",22,"Mackenzie Lancaster","Connecticut","F"
"118",20,"Maddie Bishop","Connecticut","F"
"119",12,"Maggie LaGue","Connecticut","D"
"120",4,"Taylor Marchin","Connecticut","D"
"121",29,"Sonjia Shelly","Metropolitan","G"
"122",31,"Tera Hofmann","Metropolitan","G"
"123",14,"Madison Packer","Metropolitan","F"
"124",6,"Paige Voight","Metropolitan","F"
"125",9,"Rebecca Morse","Metropolitan","D"
"126",7,"Sammy Kolowrat","Metropolitan","D"
"127",31,"Allie Morse","Minnesota","G"
"128",29,"Amanda Leveille","Minnesota","G"
"129",22,"Lynn Astrup","Minnesota","F"
"130",33,"Maddie Rowe","Minnesota","D"
"131",88,"Sara Bustad","Minnesota","D"
"132",29,"Elaine Chuli","Toronto","G"
"133",34,"Samantha Ridgewell","Toronto","G"
